DATE,COMREPBRQ159N
2005-01-01,4.29660429660428
2005-04-01,4.10396716826265
2005-07-01,5.08819538670284
2005-10-01,5.3763440860215
2006-01-01,6.9767441860465
2006-04-01,8.34428383705652
2006-07-01,8.19883795997416
2006-10-01,8.29081632653061
2007-01-01,8.57142857142859
2007-04-01,8.1867798665858
2007-07-01,9.24821002386635
2007-10-01,10.6595995288575
2008-01-01,12.4713958810069
2008-04-01,13.4529147982063
2008-07-01,12.998361551065
2008-10-01,13.1985098456626
2009-01-01,13.5808748728383
2009-04-01,13.9822134387352
2009-07-01,13.4847752537458
2009-10-01,12.8819934179596
2010-01-01,11.1957008508733
2010-04-01,10.5331599479844
2010-07-01,11.1158432708688
2010-10-01,10.7455226988755
2011-01-01,8.98107128473622
2011-04-01,7.64705882352941
2011-07-01,6.24760444614796
2011-10-01,5.56829635201204
2012-01-01,5.39541759053952
2012-04-01,5.17304189435337
2012-07-01,5.69985569985569
2012-10-01,6.48379052369077
2013-01-01,7.08274894810659
2013-04-01,7.96674748874264
2013-07-01,8.36177474402731
2013-10-01,7.82870525259285
2014-01-01,6.77799607072693
2014-04-01,4.83585497135186
2014-07-01,2.90919236716043
2014-10-01,1.89412601893937
2015-01-01,1.73698600326
2015-04-01,0.00640770524731327
2015-07-01,0.0790987122747389
2015-10-01,-1.70140550205782
2016-01-01,-4.01628754220159
2016-04-01,-3.04510127752117
2016-07-01,-3.69233081734847
2016-10-01,-3.20558528853382
2017-01-01,-3.19142277576969
2017-04-01,-4.34438184698149
2017-07-01,-3.73032375015712
2017-10-01,-4.1111501499027
2018-01-01,-2.28730102661221
2018-04-01,-2.06704984558949
2018-07-01,-2.6050680556621
2018-10-01,-2.62015022407281
2019-01-01,-3.49154323392352
2019-04-01,-3.04034274909759
2019-07-01,-2.72
2019-10-01,-2.61244679314904
2020-01-01,-2.41784007183689
2020-04-01,-2.26855340548966
2020-07-01,-0.908328312712103
2020-10-01,-1.21446044479349
